title,sku,price,price_old,is_active,count
Клетка для животных MIDWEST Life Stage двухдверная черная 93х59х63см 13.5 кг,Т00021362,14000.00,10500,False,
Клетка для собак BEEZTEES стальная 78х55х61см 9.35 кг,ПР0018281,8250.00,,True,мало
Клетка для собак Ferplast DOG FORT деревянная 100.5х59х82.5см 24.45 кг,ПР0048400,31300.00,,False,
Вольер MIDWEST 6 панелей цветной 38х48см 4.994 кг,Т0046744,5190.00,4152,False,
"Обувь для собак RUKKA Winter Termal shoes 5 (4шт), Черный 4.128 кг",ПР0062361,2870.00,,False,
"Свитер для собак FOXIE Modern classic XL (длина спины 45см, обхват груди 44-48см) коричневый 174 г",ПР0073743,1298.00,,True,мало
Попона зимняя для собак DOGMODA унисекс-47 размер XL 100 г,ПР0060304,3240.00,,False,
"Свитер для собак FOXIE Fluffy cloud XL (длина спины 45см, обхват груди 54-58см) белый 166 г",ПР0073755,998.00,,True,мало
Комбинезон для собак DOGMODA Классик унисекс-5 размер XXL 90 г,ПР0054507,1540.00,,True,достаточно
"Костюм-дождевик для собак TRIOL со светоотражающей лентой Зверята XXL, размер 45см 90 г",ПР0058621,890.00,,False,
"Комбинезон для собак TRIOL Веселые мордашки зимний XXL, размер 45см 310 г",ПР0061016,1690.00,,False,
Попона зимняя для собак DOGMODA унисекс-35 размер M 800 г,ПР0060302,2920.00,,False,
"Свитер для собак FOXIE Modern classic XS (длина спины 25см, обхват груди 28-32см) розовый 82 г",ПР0073744,1298.00,,True,мало
"Свитер для собак FOXIE Modern classic L (длина спины 40см, обхват груди 40-44см) коричневый 146 г",ПР0073742,1298.00,,True,мало
"Дождевик для собак FOXIE Rainbow XL (длина спины 45см, обхват груди 58-62см) разноцветный 156 г",ПР0073764,798.00,,True,мало
"Свитер для собак FOXIE Fluffy cloud XS (длина спины 25см, обхват груди 35-40см) белый 84 г",ПР0073751,998.00,,True,мало
"Свитер для собак FOXIE Fluffy cloud S (длина спины 30см, обхват груди 38-45см) белый 100 г",ПР0073752,998.00,,False,
"Платье для собак FOXIE Delight XS (длина спины 25см, обхват груди 28-32см) синее 56 г",ПР0073706,998.00,,True,мало
"Толстовка для собак FOXIE Modern classic L (длина спины 40см, обхват груди 40-44см) коричневая 188 г",ПР0073750,1298.00,,True,мало
Комбинезон для собак DOGMODA Классик девочка-5 размер XXL 90 г,ПР0054511,1540.00,,True,достаточно
"Свитер для собак FOXIE Modern classic M (длина спины 35см, обхват груди 36-40см) коричневый 130 г",ПР0073741,1298.00,,True,мало
"Свитер для собак FOXIE Modern classic S (длина спины 30см, обхват груди 32-36см) коричневый 104 г",ПР0073740,1298.00,,True,мало
"Толстовка для собак FOXIE Modern classic M (длина спины 35см, обхват груди 36-40см) коричневая 156 г",ПР0073749,1298.00,,True,мало
Средство для собак и кошек ProDen PlaqueOff для профилактики зубного камня 40 г,ПР0037278,2120.00,1802,True,достаточно
